run,best_epoch mean,best_epoch std,best_train_loss mean,best_train_loss std,best_train_accuracy mean,best_train_accuracy std,best_train_recall mean,best_train_recall std,best_train_precision mean,best_train_precision std,best_train_f1 mean,best_train_f1 std,best_valid_loss mean,best_valid_loss std,best_valid_accuracy mean,best_valid_accuracy std,best_valid_recall mean,best_valid_recall std,best_valid_precision mean,best_valid_precision std,best_valid_f1 mean,best_valid_f1 std,best_test_loss mean,best_test_loss std,best_test_accuracy mean,best_test_accuracy std,best_test_recall mean,best_test_recall std,best_test_precision mean,best_test_precision std,best_test_f1 mean,best_test_f1 std
act=relu_i=kaiming_uniform_h=3_epochs=100000_es=1000_eta=0.1_wd=0.001,92666.66666666667,8993.825042154695,0.10422873907642621,0.0002160379671623287,0.995,0.00013366625103841806,0.9950209991046249,0.0001371735752318911,0.9950327373239896,0.00013789820812991208,0.9950268681512434,0.00013743344392550975,0.1398190752814449,0.0005542223822548868,0.9806666666666667,0.0004109609335312619,0.9804361966982986,0.00040007868942421455,0.9806405931278325,0.00042884693575691334,0.980538384051505,0.0004144596851728761,0.13718725157874,0.0006883037640730424,0.9799000000000001,0.00037416573867735293,0.9797325069379067,0.00037634703862619325,0.9798964122222046,0.0003810399966353373,0.9798144526840851,0.00037864668267447734
act=relu_i=kaiming_uniform_h=3_epochs=10000_es=10000_eta=0.1_wd=0.0001,5506.0,223.73794194697211,0.035695161195085715,0.0015619646678202241,0.9966866666666667,0.000611519055758344,0.9967098441638026,0.0006166196842803196,0.9967076438010564,0.0006168225543353171,0.9967087439757538,0.0006167167127576672,0.0916079488292893,0.0016798088070353488,0.9777999999999999,0.00014142135623729395,0.9775414110070146,0.00012671129952997873,0.9777262847951151,0.00012631363949864414,0.9776338390458443,0.00012606682976169155,0.08790989621248389,0.0019293888533237918,0.9772333333333334,0.00046427960923946997,0.9769935829342019,0.000493947909490172,0.9771342449273016,0.0004835615178351464,0.9770639087717706,0.0004886869564675982
act=relu_i=kaiming_uniform_h=3_epochs=10000_es=10000_eta=0.1_wd=0.001,9998.0,0.0,0.11030528437544494,0.0,0.9929,0.0,0.9929124104177985,0.0,0.9929184848830127,0.0,0.9929154476411152,0.0,0.14488877064417183,0.0,0.9792,0.0,0.9789563471653265,0.0,0.9792044636130448,0.0,0.9790803896699019,0.0,0.1441233910856991,0.0,0.979,0.0,0.9788409459497298,0.0,0.9789859539016496,0.0,0.9789134445556272,0.0
act=relu_i=kaiming_uniform_h=3_epochs=10000_es=10000_eta=0.1_wd=0.01,9999.0,0.0,0.39165609647964533,0.0,0.95438,0.0,0.9539598841016135,0.0,0.9542271000365844,0.0,0.9540934733590991,0.0,0.3833430901044991,0.0,0.9587,0.0,0.9583226201455537,0.0,0.9587519698683711,0.0,0.9585372469281904,0.0,0.38757070601079413,0.0,0.9536,0.0,0.9531405665992626,0.0,0.9534447670818536,0.0,0.9532926425725822,0.0
act=relu_i=kaiming_uniform_h=3_epochs=10000_es=10000_eta=0.1_wd=0.0,5497.666666666667,78.24037036949375,0.019226472484143598,0.0008909573369189432,0.9973266666666666,0.0002594010194446055,0.9973531967360375,0.00026407896772748625,0.9973464774993862,0.0002693791525970584,0.9973498370837041,0.00026669982042305096,0.07962365357133759,0.0016180508591681262,0.9773000000000001,0.0004966554808583755,0.9770146805766363,0.0005047062559986348,0.9772226797887086,0.0005308792503386581,0.9771186689203106,0.0005177715806685677,0.07594835353354067,0.0021396581910034357,0.9766666666666667,0.0004642796092394567,0.9764253232635074,0.0004926677589299799,0.9765407139483008,0.0004564221588599631,0.9764830148596509,0.00047454695157921566
act=relu_i=kaiming_uniform_h=3_epochs=10000_es=10000_eta=0.1_wd=1.0,187.0,37.26481808176,2.3011171164455173,6.535471198320546e-05,0.11356,0.0,0.10000000000000002,1.3877787807814457e-17,nan,nan,nan,nan,2.301895483582836,6.398436301984025e-05,0.1064,0.0,0.10000000000000002,1.3877787807814457e-17,nan,nan,nan,nan,2.3011042170343234,3.6826372187726456e-05,0.1135,0.0,0.10000000000000002,1.3877787807814457e-17,nan,nan,nan,nan
act=relu_i=kaiming_uniform_h=3_epochs=10000_es=10000_eta=0.2_wd=0.01,10000.0,0.0,0.3899557016343197,0.0,0.95504,0.0,0.9546218059330661,0.0,0.9548898562392679,0.0,0.9547558122722032,0.0,0.38213620124823044,0.0,0.9585,0.0,0.9581415480626891,0.0,0.9584587529967141,0.0,0.9583001242803656,0.0,0.3866120651972479,0.0,0.9537,0.0,0.9532240033053976,0.0,0.9535351715320891,0.0,0.9533795620286294,0.0
act=relu_i=kaiming_uniform_h=3_epochs=150000_es=1000_eta=0.1_wd=0.01,99333.33333333333,32998.31645537222,0.38756137141341224,0.00033831785377,0.9554600000000001,0.00013366625103845682,0.955050570338328,0.00013351556322981946,0.9553188449561688,0.0001265004930241632,0.9551846887445947,0.00012981548763577977,0.37993535077244917,0.000193072405967361,0.9592,0.0,0.9588491438294389,1.546626524502387e-05,0.9591812518895538,1.5964970936560923e-05,0.9590151688520505,1.5488582465164104e-06,0.3845604742255147,0.00030508758035275316,0.9544666666666667,0.00016996731711974077,0.9539886391432274,0.0001498095839318198,0.9543560581168347,0.00016306183046635155,0.9541723130257798,0.00015585731028108346
act=relu_i=kaiming_uniform_h=3_epochs=20000_es=20000_eta=0.1_wd=0.001,19998.0,2.160246899469287,0.10756289639491477,0.00017966343363892034,0.9940266666666666,5.2493385826746203e-05,0.9940467225618965,4.6425530419855475e-05,0.9940614363772614,5.7922820870632676e-05,0.9940540793807284,5.2162993070205204e-05,0.14412836346369137,0.0009110801519977794,0.9795333333333334,0.0006018490028422446,0.9792779869001338,0.0006152649012991192,0.9795303031969457,0.0005973737492107997,0.9794041284029262,0.0006060696704677119,0.14107528772078026,0.0007386102169526164,0.9793,0.0006531972647421542,0.9791055191749232,0.0006563064118497049,0.9793009269240608,0.0006741623318623772,0.9792032131502727,0.0006651807450271472
act=relu_i=kaiming_uniform_h=3_epochs=20000_es=20000_eta=0.1_wd=0.01,19997.5,0.5,0.38990297815766595,0.00014998866780924214,0.95521,0.00021000000000004349,0.95479627150007,0.00021657496751315009,0.9550644796589348,0.00021861176526405401,0.9549303567457943,0.00021759308464563976,0.3818324891667053,0.0003168609160351388,0.9592499999999999,0.00035000000000001696,0.958885738894599,0.0003609136008438374,0.9592389795318405,0.00035216480330746425,0.9590623266663778,0.00035654082534825044,0.3863286875783135,2.0267711236865438e-05,0.9538,0.00029999999999996696,0.9533174235627557,0.00029191974718073554,0.9536733931974695,0.0002918968772605557,0.9534953751564607,0.0002919083266609279
