run,best_epoch mean,best_epoch std,best_test_accuracy mean,best_test_accuracy std,best_test_loss mean,best_test_loss std,best_test_precision mean,best_test_precision std,best_test_recall mean,best_test_recall std,best_train_accuracy mean,best_train_accuracy std,best_train_loss mean,best_train_loss std
act=relu_i=kaiming_uniform_h=3_epochs=100000_es=1000_eta=0.1_wd=0.001,92666.66666666667,8993.825042154695,0.9799000000000001,0.00037416573867735293,0.13718725157874,0.0006883037640730424,0.9798964122222046,0.0003810399966353373,0.9797325069379067,0.00037634703862619325,0.995,0.00013366625103841806,0.10422873907642621,0.0002160379671623287
act=relu_i=kaiming_uniform_h=3_epochs=10000_es=10000_eta=0.1_wd=0.0001,5506.0,223.73794194697211,0.9772333333333334,0.00046427960923946997,0.08790989621248389,0.0019293888533237918,0.9771342449273016,0.0004835615178351464,0.9769935829342019,0.000493947909490172,0.9966866666666667,0.000611519055758344,0.035695161195085715,0.0015619646678202241
act=relu_i=kaiming_uniform_h=3_epochs=10000_es=10000_eta=0.1_wd=0.001,9998.0,0.0,0.979,0.0,0.1441233910856991,0.0,0.9789859539016496,0.0,0.9788409459497298,0.0,0.9929,0.0,0.11030528437544494,0.0
act=relu_i=kaiming_uniform_h=3_epochs=10000_es=10000_eta=0.1_wd=0.01,9999.0,0.0,0.9536,0.0,0.38757070601079413,0.0,0.9534447670818536,0.0,0.9531405665992626,0.0,0.95438,0.0,0.39165609647964533,0.0
act=relu_i=kaiming_uniform_h=3_epochs=10000_es=10000_eta=0.1_wd=0.0,5497.666666666667,78.24037036949375,0.9766666666666667,0.0004642796092394567,0.07594835353354067,0.0021396581910034357,0.9765407139483008,0.0004564221588599631,0.9764253232635074,0.0004926677589299799,0.9973266666666666,0.0002594010194446055,0.019226472484143598,0.0008909573369189432
act=relu_i=kaiming_uniform_h=3_epochs=10000_es=10000_eta=0.1_wd=1.0,187.0,37.26481808176,0.1135,0.0,2.3011042170343234,3.6826372187726456e-05,nan,nan,0.10000000000000002,1.3877787807814457e-17,0.11356,0.0,2.3011171164455173,6.535471198320546e-05
act=relu_i=kaiming_uniform_h=3_epochs=10000_es=10000_eta=0.2_wd=0.01,10000.0,0.0,0.9537,0.0,0.3866120651972479,0.0,0.9535351715320891,0.0,0.9532240033053976,0.0,0.95504,0.0,0.3899557016343197,0.0
act=relu_i=kaiming_uniform_h=3_epochs=150000_es=1000_eta=0.1_wd=0.01,99333.33333333333,32998.31645537222,0.9544666666666667,0.00016996731711974077,0.3845604742255147,0.00030508758035275316,0.9543560581168347,0.00016306183046635155,0.9539886391432274,0.0001498095839318198,0.9554600000000001,0.00013366625103845682,0.38756137141341224,0.00033831785377
act=relu_i=kaiming_uniform_h=3_epochs=20000_es=20000_eta=0.1_wd=0.001,19998.0,2.160246899469287,0.9793,0.0006531972647421542,0.14107528772078026,0.0007386102169526164,0.9793009269240608,0.0006741623318623772,0.9791055191749232,0.0006563064118497049,0.9940266666666666,5.2493385826746203e-05,0.10756289639491477,0.00017966343363892034
act=relu_i=kaiming_uniform_h=3_epochs=20000_es=20000_eta=0.1_wd=0.01,19997.5,0.5,0.9538,0.00029999999999996696,0.3863286875783135,2.0267711236865438e-05,0.9536733931974695,0.0002918968772605557,0.9533174235627557,0.00029191974718073554,0.95521,0.00021000000000004349,0.38990297815766595,0.00014998866780924214
