run,best_epoch mean,best_epoch std,best_test_accuracy mean,best_test_accuracy std,best_test_loss mean,best_test_loss std,best_test_precision mean,best_test_precision std,best_test_recall mean,best_test_recall std,best_train_accuracy mean,best_train_accuracy std,best_train_loss mean,best_train_loss std
act=relu_i=kaiming_uniform_h=4_epochs=100000_es=1000_eta=0.1_wd=0.0001,3127.0,79.50262050188451,0.9763000000000001,0.00021602468994695627,0.0954206364765308,0.0007691020699701367,0.9761809198922148,0.0002684358707290313,0.9760314957640389,0.000233490415955415,0.9983666666666666,0.00017152907107023842,0.030805616442689598,0.0007563524261786858
act=relu_i=kaiming_uniform_h=4_epochs=100000_es=1000_eta=0.1_wd=0.001,90057.66666666667,11651.532240677856,0.9817,0.00042426406871193413,0.13731136581665063,0.0009173027569792717,0.9816697570576084,0.00045077996074874944,0.9815035531190857,0.0004334807527730984,0.99838,7.483314773550422e-05,0.09697757932757435,0.00025836944168504427
act=relu_i=kaiming_uniform_h=4_epochs=100000_es=1000_eta=0.1_wd=0.01,99966.33333333333,18.732028424302822,0.9558666666666666,9.428090415819596e-05,0.45833104232369143,0.0002323041211173177,0.9556857624490958,9.977655080146992e-05,0.9554023996346128,0.00012644216300766907,0.9576533333333334,9.568466729604138e-05,0.46098858044399754,2.6320974299975312e-05
act=relu_i=kaiming_uniform_h=4_epochs=100000_es=1000_eta=0.1_wd=0.0,3036.6666666666665,34.179265969622904,0.9761000000000001,0.00021602468994695627,0.08213457289339952,0.000701623556441088,0.9759716136803421,0.0002427729810821794,0.9758262564230127,0.0002227532189241228,0.9986133333333332,0.00011585431464652921,0.012911253393538455,0.0005222298919425287
act=relu_i=kaiming_uniform_h=4_epochs=100000_es=1000_eta=0.1_wd=1.0,419.6666666666667,330.6814512823818,0.1135,0.0,2.301002271745833,3.779814023441538e-08,nan,nan,0.10000000000000002,1.3877787807814457e-17,0.11356,0.0,2.3010117907106777,3.4848186975921155e-08
act=relu_i=kaiming_uniform_h=5_epochs=100000_es=1000_eta=0.1_wd=0.0001,2121.3333333333335,75.12360185424788,0.9753,0.0008640987597877223,0.10316219056793814,0.0019431265921266059,0.9751308363344481,0.000913364810728801,0.9749958376034845,0.0008689055921295915,0.9986933333333333,0.00016438437341249033,0.030912443079064666,0.00019873942341995196
act=relu_i=kaiming_uniform_h=5_epochs=100000_es=1000_eta=0.1_wd=0.001,6523.666666666667,1807.367207355003,0.9729666666666668,0.001837268503936075,0.1945061828290627,0.0063274905008720685,0.9729123832347429,0.0018631782111366354,0.9727462335071125,0.001835276932570353,0.98828,0.0028793054718108686,0.15285870352781664,0.008377678991228831
act=relu_i=kaiming_uniform_h=5_epochs=100000_es=1000_eta=0.1_wd=0.01,31129.0,4244.2283947340375,0.9545666666666667,0.0015691469727919826,0.5158099289796553,0.004879410040292322,0.9545403621796303,0.0013545308833669036,0.9541083804182063,0.0016300918788287534,0.96036,0.001333866560042643,0.5112976250512148,0.004714447970320211
act=relu_i=kaiming_uniform_h=5_epochs=100000_es=1000_eta=0.1_wd=0.0,2319.3333333333335,322.4947889329204,0.9757333333333333,0.0003091206165165413,0.09027840856463547,0.004480992265682573,0.9755379230322312,0.0003572891704761994,0.9754303573917268,0.0003044726978299305,0.9989666666666667,0.0003138293945584323,0.00974797085126204,0.0012597166559723122
act=relu_i=kaiming_uniform_h=5_epochs=100000_es=1000_eta=0.1_wd=1.0,434.0,333.42765332227617,0.1135,0.0,2.301002276895674,2.429203987661468e-08,nan,nan,0.10000000000000002,1.3877787807814457e-17,0.11356,0.0,2.3010117943743764,2.4858798660570105e-08
