run,best_epoch mean,best_epoch std,best_train_loss mean,best_train_loss std,best_train_accuracy mean,best_train_accuracy std,best_train_recall mean,best_train_recall std,best_train_precision mean,best_train_precision std,best_train_f1 mean,best_train_f1 std,best_valid_loss mean,best_valid_loss std,best_valid_accuracy mean,best_valid_accuracy std,best_valid_recall mean,best_valid_recall std,best_valid_precision mean,best_valid_precision std,best_valid_f1 mean,best_valid_f1 std,best_test_loss mean,best_test_loss std,best_test_accuracy mean,best_test_accuracy std,best_test_recall mean,best_test_recall std,best_test_precision mean,best_test_precision std,best_test_f1 mean,best_test_f1 std
act=relu_i=kaiming_uniform_h=4_epochs=100000_es=1000_eta=0.1_wd=0.0001,3127.0,79.50262050188451,0.030805616442689598,0.0007563524261786858,0.9983666666666666,0.00017152907107023842,0.9983899744535218,0.0001707931064249009,0.9983980654118266,0.00016549537065622572,0.9983940199062665,0.00016813540964291784,0.09546710878415905,0.0011597832102948724,0.9779666666666667,0.0005436502143433264,0.9776576366543371,0.000572679609625474,0.9778703517283155,0.0004949037917143133,0.9777639806496614,0.0005334121766354925,0.0954206364765308,0.0007691020699701367,0.9763000000000001,0.00021602468994695627,0.9760314957640389,0.000233490415955415,0.9761809198922148,0.0002684358707290313,0.97610620176917,0.00025090568045542513
act=relu_i=kaiming_uniform_h=4_epochs=100000_es=1000_eta=0.1_wd=0.001,90057.66666666667,11651.532240677856,0.09697757932757435,0.00025836944168504427,0.99838,7.483314773550422e-05,0.9984045788990147,7.682305453510293e-05,0.9984104442922627,7.774110444193358e-05,0.9984075115850833,7.727089762225983e-05,0.13894897222383581,0.0005764593454660455,0.9817,0.0004966554808583755,0.9814805906052652,0.00048616351023526453,0.981657002040765,0.0005027116800415249,0.9815687865087268,0.0004926256619818708,0.13731136581665063,0.0009173027569792717,0.9817,0.00042426406871193413,0.9815035531190857,0.0004334807527730984,0.9816697570576084,0.00045077996074874944,0.9815866472074427,0.0004412727335147443
act=relu_i=kaiming_uniform_h=4_epochs=100000_es=1000_eta=0.1_wd=0.01,99966.33333333333,18.732028424302822,0.46098858044399754,2.6320974299975312e-05,0.9576533333333334,9.568466729604138e-05,0.9572878451377772,9.522846930157539e-05,0.9575000923153639,9.93888249951232e-05,0.9573939569301357,9.716758375977484e-05,0.4533675622147735,0.00022768277929778203,0.9609666666666667,0.00044969125210772906,0.9606826444352463,0.00045015514172761444,0.9608854500542966,0.00048014455880794155,0.9607840362698191,0.0004651053687672994,0.45833104232369143,0.0002323041211173177,0.9558666666666666,9.428090415819596e-05,0.9554023996346128,0.00012644216300766907,0.9556857624490958,9.977655080146992e-05,0.9555440598437475,0.00011309591767192276
act=relu_i=kaiming_uniform_h=4_epochs=100000_es=1000_eta=0.1_wd=0.0,3036.6666666666665,34.179265969622904,0.012911253393538455,0.0005222298919425287,0.9986133333333332,0.00011585431464652921,0.9986404157589032,0.00011332427312558252,0.9986420268828864,0.00011119948826264179,0.9986412213187545,0.000112260280203524,0.08218234287764808,0.001489603955127257,0.9777,0.00042426406871188177,0.9774033413666606,0.00045553526711650315,0.9775872722204321,0.0003760512218775673,0.977495296501978,0.0004157752688754065,0.08213457289339952,0.000701623556441088,0.9761000000000001,0.00021602468994695627,0.9758262564230127,0.0002227532189241228,0.9759716136803421,0.0002427729810821794,0.9758989293189613,0.00023230476053224055
act=relu_i=kaiming_uniform_h=4_epochs=100000_es=1000_eta=0.1_wd=1.0,419.6666666666667,330.6814512823818,2.3010117907106777,3.4848186975921155e-08,0.11356,0.0,0.10000000000000002,1.3877787807814457e-17,nan,nan,nan,nan,2.301991761482825,3.566691563689627e-08,0.1064,0.0,0.10000000000000002,1.3877787807814457e-17,nan,nan,nan,nan,2.301002271745833,3.779814023441538e-08,0.1135,0.0,0.10000000000000002,1.3877787807814457e-17,nan,nan,nan,nan
act=relu_i=kaiming_uniform_h=5_epochs=100000_es=1000_eta=0.1_wd=0.0001,2121.3333333333335,75.12360185424788,0.030912443079064666,0.00019873942341995196,0.9986933333333333,0.00016438437341249033,0.9987153506332828,0.00015960629264785537,0.9987196791435627,0.0001679715426412928,0.9987175148584179,0.0001637651404422908,0.10584431807609733,0.0018079049367784306,0.9769666666666668,0.001108552609887742,0.9766966359826156,0.001163318927012297,0.9768237361241173,0.0011170173947839016,0.9767601804130145,0.001139764309816986,0.10316219056793814,0.0019431265921266059,0.9753,0.0008640987597877223,0.9749958376034845,0.0008689055921295915,0.9751308363344481,0.000913364810728801,0.9750633310425948,0.0008907209485310059
act=relu_i=kaiming_uniform_h=5_epochs=100000_es=1000_eta=0.1_wd=0.001,6523.666666666667,1807.367207355003,0.15285870352781664,0.008377678991228831,0.98828,0.0028793054718108686,0.9882462099334414,0.00292853022693895,0.9882754529414276,0.0029033373525737334,0.9882608310577875,0.0029159340100335315,0.19323974047490047,0.00454024299963252,0.9749,0.000787400787401179,0.974675751286219,0.0007482299579245767,0.9748506424376107,0.000782183887593177,0.9747631869219989,0.0007640574950052536,0.1945061828290627,0.0063274905008720685,0.9729666666666668,0.001837268503936075,0.9727462335071125,0.001835276932570353,0.9729123832347429,0.0018631782111366354,0.9728293009293596,0.0018491854372862633
act=relu_i=kaiming_uniform_h=5_epochs=100000_es=1000_eta=0.1_wd=0.01,31129.0,4244.2283947340375,0.5112976250512148,0.004714447970320211,0.96036,0.001333866560042643,0.960099301536861,0.001377206047572444,0.9603667918003569,0.0011542040697672124,0.9602330128784783,0.0012649275252499884,0.5083698885304441,0.0042852241384471815,0.9607666666666667,0.0007760297817881929,0.9605366992635243,0.0007990295361942552,0.9607197432926317,0.0005824282685370696,0.9606281943042253,0.00068656158143336,0.5158099289796553,0.004879410040292322,0.9545666666666667,0.0015691469727919826,0.9541083804182063,0.0016300918788287534,0.9545403621796303,0.0013545308833669036,0.9543242915802538,0.0014889351269475278
act=relu_i=kaiming_uniform_h=5_epochs=100000_es=1000_eta=0.1_wd=0.0,2319.3333333333335,322.4947889329204,0.00974797085126204,0.0012597166559723122,0.9989666666666667,0.0003138293945584323,0.998989828825206,0.00030310259726347584,0.9989878260002888,0.0003089219948429489,0.9989888274017313,0.0003060097991155054,0.09258118334236377,0.0024457184031858917,0.9767000000000001,0.0009899494936611473,0.9764307072234045,0.0009764894876757737,0.9765631513126865,0.0009861791213375533,0.9764969241890867,0.0009810531613832542,0.09027840856463547,0.004480992265682573,0.9757333333333333,0.0003091206165165413,0.9754303573917268,0.0003044726978299305,0.9755379230322312,0.0003572891704761994,0.9754841363162127,0.000330558637946621
act=relu_i=kaiming_uniform_h=5_epochs=100000_es=1000_eta=0.1_wd=1.0,434.0,333.42765332227617,2.3010117943743764,2.4858798660570105e-08,0.11356,0.0,0.10000000000000002,1.3877787807814457e-17,nan,nan,nan,nan,2.301991766028672,2.4770371883219348e-08,0.1064,0.0,0.10000000000000002,1.3877787807814457e-17,nan,nan,nan,nan,2.301002276895674,2.429203987661468e-08,0.1135,0.0,0.10000000000000002,1.3877787807814457e-17,nan,nan,nan,nan
