run,best_epoch mean,best_epoch std,best_test_accuracy mean,best_test_accuracy std,best_test_loss mean,best_test_loss std,best_test_precision mean,best_test_precision std,best_test_recall mean,best_test_recall std,best_train_accuracy mean,best_train_accuracy std,best_train_loss mean,best_train_loss std
act=relu_i=kaiming_uniform_h=5_epochs=200000_es=1000_eta=0.01_wd=0.0001,19412.0,1552.7886741816048,0.9732333333333334,0.0014197026292697712,0.10535453671568902,0.002627985889288779,0.973142427806231,0.0014083045000895331,0.9729421184609809,0.0014562115430927032,0.99254,0.0011934264395707993,0.05064494695726527,0.0034032464197988025
act=relu_i=kaiming_uniform_h=5_epochs=200000_es=1000_eta=0.01_wd=0.001,199990.0,0.0,0.9782,0.0,0.15333379620657867,0.0,0.9781162647076223,0.0,0.9779748426393354,0.0,0.9994,0.0,0.09677209873368824,0.0
act=relu_i=kaiming_uniform_h=5_epochs=200000_es=1000_eta=0.01_wd=0.0,18060.0,1032.0,0.9722999999999999,0.00030000000000002247,0.09016460684821045,0.0022397501818806204,0.9722102462131119,0.0003638523061655907,0.9719809438931193,0.0002905719222838221,0.99185,0.0008099999999999774,0.03526067973016067,0.002102043897345248
act=relu_i=kaiming_uniform_h=5_epochs=300000_es=2000_eta=0.03_wd=0.001,88600.0,7100.7041904306925,0.9773999999999999,0.0006164414002968777,0.15412656353795182,0.001908363204993359,0.9772841440189604,0.000626345850251169,0.9771839588489698,0.0005957413219195772,0.99944,8.164965809276361e-05,0.09535729887239126,8.600446910951536e-05
act=relu_i=kaiming_uniform_h=5_epochs=300000_es=2000_eta=0.03_wd=0.01,299999.6666666667,0.4714045207910317,0.9573333333333333,0.0001885618083163919,0.5060415338972647,0.0002820302809640715,0.9571006782551933,0.00020622821781069058,0.9567787447034618,0.00021795282270880076,0.9622,0.00016573070526210802,0.5006679727650108,0.00019877712987570866
act=relu_i=kaiming_uniform_h=5_epochs=300000_es=2000_eta=0.03_wd=1.0,2200.0,1600.0,0.1135,0.0,2.301025446476984,2.326268375973939e-05,nan,nan,0.1,0.0,0.11356,0.0,2.30104360125739,3.190269389818923e-05
