run,best_epoch mean,best_epoch std,best_train_loss mean,best_train_loss std,best_train_accuracy mean,best_train_accuracy std,best_train_recall mean,best_train_recall std,best_train_precision mean,best_train_precision std,best_train_f1 mean,best_train_f1 std,best_valid_loss mean,best_valid_loss std,best_valid_accuracy mean,best_valid_accuracy std,best_valid_recall mean,best_valid_recall std,best_valid_precision mean,best_valid_precision std,best_valid_f1 mean,best_valid_f1 std,best_test_loss mean,best_test_loss std,best_test_accuracy mean,best_test_accuracy std,best_test_recall mean,best_test_recall std,best_test_precision mean,best_test_precision std,best_test_f1 mean,best_test_f1 std
act=relu_i=kaiming_uniform_h=5_epochs=200000_es=1000_eta=0.01_wd=0.0001,19412.0,1552.7886741816048,0.05064494695726527,0.0034032464197988025,0.99254,0.0011934264395707993,0.9925443399666651,0.0012065030134543085,0.992536759445021,0.0012183525307442051,0.9925405496553044,0.0012124275706357215,0.10754250376764836,0.00232475624728216,0.9755333333333334,0.0006182412330330826,0.9752607968821482,0.0006855116656837664,0.9754070435151423,0.0006220805616783246,0.9753339122484204,0.0006527301762555412,0.10535453671568902,0.002627985889288779,0.9732333333333334,0.0014197026292697712,0.9729421184609809,0.0014562115430927032,0.973142427806231,0.0014083045000895331,0.9730422605735737,0.0014317005785934663
act=relu_i=kaiming_uniform_h=5_epochs=200000_es=1000_eta=0.01_wd=0.001,199990.0,0.0,0.09677209873368824,0.0,0.9994,0.0,0.9994165675740805,0.0,0.999414739444253,0.0,0.9994156535083308,0.0,0.15252613112265603,0.0,0.9791,0.0,0.9788938612255154,0.0,0.9790646299396931,0.0,0.9789792381355734,0.0,0.15333379620657867,0.0,0.9782,0.0,0.9779748426393354,0.0,0.9781162647076223,0.0,0.9780455485611911,0.0
act=relu_i=kaiming_uniform_h=5_epochs=200000_es=1000_eta=0.01_wd=0.0,18060.0,1032.0,0.03526067973016067,0.002102043897345248,0.99185,0.0008099999999999774,0.9918437967719113,0.0008193370492192154,0.9918260834876196,0.0008257947936063381,0.9918349400401203,0.000822565979151979,0.09308737155764392,0.0004858807449999586,0.97495,4.999999999999449e-05,0.9746405881360685,2.7838085691678227e-05,0.9748182078502865,8.418060431242269e-05,0.9747293890876053,5.600421201623629e-05,0.09016460684821045,0.0022397501818806204,0.9722999999999999,0.00030000000000002247,0.9719809438931193,0.0002905719222838221,0.9722102462131119,0.0003638523061655907,0.9720955801527644,0.00032720347638542924
act=relu_i=kaiming_uniform_h=5_epochs=300000_es=2000_eta=0.03_wd=0.001,88600.0,7100.7041904306925,0.09535729887239126,8.600446910951536e-05,0.99944,8.164965809276361e-05,0.9994537893699643,7.844375655431036e-05,0.9994592815415936,7.975724488405967e-05,0.999456535436991,7.903215993723644e-05,0.15606278429110257,0.00279839660899522,0.9785666666666667,0.00040276819911982676,0.9782998977802637,0.00044577738120266623,0.9784494122273371,0.0004456380911620026,0.9783746492617876,0.00044567497677842194,0.15412656353795182,0.001908363204993359,0.9773999999999999,0.0006164414002968777,0.9771839588489698,0.0005957413219195772,0.9772841440189604,0.000626345850251169,0.9772340485372774,0.0006109695256533486
act=relu_i=kaiming_uniform_h=5_epochs=300000_es=2000_eta=0.03_wd=0.01,299999.6666666667,0.4714045207910317,0.5006679727650108,0.00019877712987570866,0.9622,0.00016573070526210802,0.9618750594678339,0.00017247995905815563,0.9620672810189298,0.00018638073408277337,0.9619711605634559,0.00017935512472771854,0.49977001360974915,0.00018281227970078548,0.9609666666666666,0.00028674417556809903,0.9606166520726247,0.0003173407448825274,0.9607976322446182,0.00031353657202717986,0.9607071335459882,0.0003153089113046648,0.5060415338972647,0.0002820302809640715,0.9573333333333333,0.0001885618083163919,0.9567787447034618,0.00021795282270880076,0.9571006782551933,0.00020622821781069058,0.9569396843656692,0.00021208999259207198
act=relu_i=kaiming_uniform_h=5_epochs=300000_es=2000_eta=0.03_wd=1.0,2200.0,1600.0,2.30104360125739,3.190269389818923e-05,0.11356,0.0,0.1,0.0,nan,nan,nan,nan,2.3019666128064338,2.505291160037615e-05,0.1064,0.0,0.1,0.0,nan,nan,nan,nan,2.301025446476984,2.326268375973939e-05,0.1135,0.0,0.1,0.0,nan,nan,nan,nan
